Origin,DividedPercentage,TotalPercentage,Name,Color,Value
Education Row 4,1,34.54549886,Education,Y,51473934
Education Row 4,2,34.54549886,Education,Y,51473934
Education Row 4,4,34.54549886,Education,Y,51473934
Education Row 4,3,34.54549886,Education,Y,51473934
Education Row 1,1,34.54549886,Education,N,51473934
Education Row 1,2,34.54549886,Education,N,51473934
Education Row 1,3,34.54549886,Education,N,51473934
Education Row 4,5,34.54549886,Education,Y,51473934
Education Row 1,4,34.54549886,Education,N,51473934
Education Row 1,5,34.54549886,Education,N,51473934
Education Row 2,1,34.54549886,Education,N,51473934
Education Row 2,2,34.54549886,Education,N,51473934
Education Row 2,3,34.54549886,Education,N,51473934
Education Row 2,4,34.54549886,Education,N,51473934
Education Row 2,5,34.54549886,Education,N,51473934
Education Row 3,1,34.54549886,Education,Y,51473934
Education Row 3,2,34.54549886,Education,Y,51473934
Education Row 3,3,34.54549886,Education,N,51473934
Education Row 3,4,34.54549886,Education,N,51473934
Education Row 3,5,34.54549886,Education,N,51473934
